state,POC_Proportion,proportion_Black,proportion_Hispanic,proportion_Asian,proportion_Native_American,proportion_Other,proportion_White,total_cases
Alabama,0.3076923076923077,0.2980769230769231,0.009615385,0,0,0,0.6057692307692307,104
Alaska,0.358974359,0.076923077,0,0.051282051,0.23076923076923078,0,0.5641025641025641,39
Arizona,0.4448818897637795,0.066929134,0.32677165354330706,0,0.051181102362204724,0,0.42913385826771655,254
Arkansas,0.3253012048192771,0.3132530120481928,0,0.012048192771084338,0,0,0.5542168674698795,83
California,0.6007509386733417,0.15269086357947434,0.3954943679599499,0.036295369,0.005006258,0.011264080100125156,0.2765957446808511,799
Colorado,0.39487179487179486,0.092307692,0.24615384615384617,0.025641026,0.020512820512820513,0.010256410256410256,0.4666666666666667,195
Connecticut,0.42857142857142855,0.14285714285714285,0.2857142857142857,0,0,0,0.5238095238095238,21
Delaware,0.38461538461538464,0.38461538461538464,0,0,0,0,0.38461538461538464,13
Florida,0.48,0.3171428571428571,0.1457142857142857,0.002857143,0,0.014285714285714285,0.44571428571428573,350
Georgia,0.46153846153846156,0.3901098901098901,0.049450549,0.021978022,0,0,0.4230769230769231,182
Hawaii,0.8666666666666667,0.033333333,0.033333333,0.3,0,0.5,0.1,30
Idaho,0.16666666666666666,0.023809523809523808,0.11904761904761904,0,0.023809523809523808,0,0.7142857142857143,42
Illinois,0.6826923076923077,0.5576923076923077,0.125,0,0,0,0.2692307692307692,104
Indiana,0.35789473684210527,0.3157894736842105,0.042105263157894736,0,0,0,0.6,95
Iowa,0.21875,0.21875,0,0,0,0,0.75,32
Kansas,0.3,0.12,0.16,0,0.02,0,0.68,50
Kentucky,0.21052631578947367,0.15789473684210525,0.031578947368421054,0.010526315789473684,0.010526315789473684,0,0.7052631578947368,95
Louisiana,0.5779816513761468,0.5504587155963303,0.009174312,0.018348624,0,0,0.3577981651376147,109
Maine,0.13636363636363635,0.045454545454545456,0.045454545454545456,0,0,0.045454545454545456,0.8181818181818182,22
Maryland,0.6847826086956522,0.6413043478260869,0.032608696,0.010869565217391304,0,0,0.29347826086956524,92
Massachusetts,0.45714285714285713,0.22857142857142856,0.2,0,0,0.028571429,0.4857142857142857,35
Michigan,0.358974359,0.3076923076923077,0.025641026,0.012820513,0,0.012820513,0.5512820512820513,78
Minnesota,0.3770491803278688,0.16393442622950818,0.049180328,0.049180328,0.06557377,0.049180328,0.6065573770491803,61
Mississippi,0.38461538461538464,0.35384615384615387,0.015384615384615385,0.015384615384615385,0,0,0.5538461538461539,65
Missouri,0.36879432624113473,0.3404255319148936,0.021276596,0.007092199,0,0,0.5106382978723404,141
Montana,0.12903225806451613,0,0,0,0.12903225806451613,0,0.8064516129032258,31
Nebraska,0.3333333333333333,0.20833333333333334,0.083333333,0,0.041666666666666664,0,0.6666666666666666,24
Nevada,0.4791666666666667,0.15625,0.2916666666666667,0.020833333333333332,0.010416666666666666,0,0.40625,96
New Hampshire,0,0,0,0,0,0,0.9230769230769231,13
New Jersey,0.5735294117647058,0.4411764705882353,0.11764705882352941,0.014705882352941176,0,0,0.3088235294117647,68
New Mexico,0.6320754716981132,0.009433962,0.6037735849056604,0,0.018867924528301886,0,0.24528301886792453,106
New York,0.5445544554455446,0.45544554455445546,0.079207921,0.00990099,0,0,0.3465346534653465,101
North Carolina,0.38461538461538464,0.3269230769230769,0.051282051,0.006410256,0,0,0.5641025641025641,156
North Dakota,0.45454545454545453,0,0,0,0.45454545454545453,0,0.5454545454545454,11
Ohio,0.4,0.36129032258064514,0.006451613,0.012903225806451613,0,0.019354839,0.5419354838709678,155
Oklahoma,0.31097560975609756,0.1951219512195122,0.054878048780487805,0.018292682926829267,0.042682926829268296,0,0.6097560975609756,164
Oregon,0.14772727272727273,0.079545455,0.068181818,0,0,0,0.7159090909090909,88
Pennsylvania,0.4444444444444444,0.3888888888888889,0.055555556,0,0,0,0.4351851851851852,108
Rhode Island,0.75,0.5,0.25,0,0,0,0.25,4
South Carolina,0.3409090909090909,0.3068181818181818,0.022727272727272728,0.011363636363636364,0,0,0.5681818181818182,88
South Dakota,0.23529411764705882,0,0,0.058823529411764705,0.17647058823529413,0,0.5882352941176471,17
Tennessee,0.2589928057553957,0.22302158273381295,0.021582734,0.007194245,0,0.007194245,0.6402877697841727,139
Texas,0.5218295218295218,0.20582120582120583,0.29521829521829523,0.012474012474012475,0.002079002,0.006237006,0.36382536382536385,481
Utah,0.36666666666666664,0.11666666666666667,0.2,0,0.033333333,0.016666666666666666,0.6,60
Vermont,0.1111111111111111,0,0,0,0.1111111111111111,0,0.7777777777777778,9
Virginia,0.49473684210526314,0.42105263157894735,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.47368421052631576,95
Washington,0.39473684210526316,0.13815789473684212,0.13815789473684212,0.059210526,0.046052631578947366,0.013157894736842105,0.4342105263157895,152
West Virginia,0.16666666666666666,0.14814814814814814,0,0.018518518518518517,0,0,0.6851851851851852,54
Wisconsin,0.3516483516483517,0.21978021978021978,0.065934066,0.021978022,0.043956044,0,0.6153846153846154,91
Wyoming,0.2857142857142857,0,0.14285714285714285,0,0.14285714285714285,0,0.6428571428571429,14
