state,total_cases,total_armed,total_unarmed,avg_age,male_count,female_count,mental_illness_cases,raw_score,murders,murders_with_firearms,active_shooter_deaths,suicides_with_firearms,population
Alabama,104,94,4,40.5959595959596,97,7,26,23,2,1,17,504,4830533
Alaska,39,36,3,33.28947368421053,37,2,6,8,34,12,0,120,737442
Arizona,254,224,17,36.51639344262295,237,17,47,9,304,184,8,655,6630799
Arkansas,83,77,3,39.63291139240506,82,1,13,11,154,110,1,322,2957957
California,799,708,58,35.265582655826556,760,39,182,37,1745,1224,45,1571,38414128
Colorado,195,178,9,35.93370165745856,189,6,25,17,174,88,23,489,5271132
Connecticut,21,17,2,36.285714285714285,21,0,5,36,86,60,35,92,3597168
Delaware,13,11,0,33,13,0,4,24,39,33,0,60,925353
Florida,350,308,27,38.83035714285714,332,18,94,22,NA,NA,29,1566,19594467
Georgia,182,162,15,37.881355932203384,168,13,38,20,534,411,3,747,9991562
Hawaii,30,24,2,38.172413793103445,28,2,6,29,9,6,0,28,1408765
Idaho,42,40,1,41.075,40,2,6,10,26,15,1,200,1612785
Illinois,104,93,5,32.77669902912621,100,4,18,27,433,364,15,496,12889580
Indiana,95,86,5,39.02105263157895,93,2,24,25,311,238,5,523,6570518
Iowa,32,30,2,31.34375,30,2,7,16,42,18,0,221,3092224
Kansas,50,44,4,36.480000000000004,47,3,12,5,112,78,6,241,2894630
Kentucky,95,87,3,39.79347826086956,90,4,7,4,165,111,5,453,4398500
Louisiana,109,94,11,36.367924528301884,107,2,23,2,453,356,6,408,4627491
Maine,22,20,1,40.09090909090909,21,1,2,22,24,12,0,137,1328778
Maryland,92,75,9,35.83516483516483,86,6,24,33,379,268,0,257,5936040
Massachusetts,35,31,1,37.75757575757576,35,0,11,31,135,78,0,112,6708810
Michigan,78,67,8,37.4078947368421,76,2,25,18,625,440,2,674,9900506
Minnesota,61,53,6,35.26229508196721,59,2,21,19,110,60,17,339,5420541
Mississippi,65,56,6,37.389830508474574,63,2,9,5,142,110,6,279,2990976
Missouri,141,128,9,35.992592592592594,131,10,21,1,371,273,14,556,6043708
Montana,31,28,0,36.9,30,1,4,3,15,9,0,147,1014402
Nevada,120,108,6,37.80508474576271,116,4,32,12,157,87,7,292,2790366
New Hampshire,13,13,0,38.53846153846154,13,0,6,28,21,5,0,81,1322660
New Jersey,68,60,5,37.76119402985075,66,2,14,34,401,291,2,194,8907384
New Mexico,106,92,7,36.23232323232323,100,6,19,10,106,59,4,222,2086890
New York,101,96,4,39.677083333333336,97,4,37,32,648,362,18,465,19691032
North Carolina,156,149,4,39.86092715231788,151,5,33,12,452,315,5,771,9845432
North Dakota,11,8,2,31,11,0,2,20,11,4,0,76,723626
Ohio,155,134,13,36.324675324675326,150,5,38,13,434,309,18,800,11572232
Oklahoma,164,144,14,38.25,161,3,36,11,191,127,3,433,3853405
Oregon,88,82,4,39.61176470588235,86,2,27,14,78,43,4,389,3928030
Pennsylvania,108,92,10,37.19047619047619,105,3,27,21,594,440,25,918,12783536
Rhode Island,4,3,0,41,4,0,0,26,31,18,0,34,1052856
South Carolina,88,82,2,39.97701149425287,84,4,17,11,296,224,1,470,4768498
South Dakota,17,16,1,35.4375,17,0,6,6,12,3,0,71,845270
Tennessee,139,129,5,38.91851851851852,132,7,34,20,327,223,4,676,6496130
Texas,481,425,38,35.89140271493213,451,30,89,12,1133,760,21,1780,26500674
Utah,60,57,2,35,60,0,16,2,49,31,5,295,2903685
Vermont,9,8,1,44.666666666666664,9,0,4,5,9,5,2,59,627129
Virginia,95,84,8,36.81720430107527,89,6,26,35,315,225,35,601,8267875
Washington,152,137,9,36.95205479452055,147,5,52,19,155,86,26,483,6973281
West Virginia,54,48,1,42.84313725490196,52,2,12,22,54,30,0,225,1852985
Wisconsin,91,85,5,37.157303370786515,90,1,24,15,157,103,29,437,5743653
Wyoming,14,13,1,39.857142857142854,13,1,5,7,15,9,0,89,583131
Nebraska,NA,NA,NA,NA,NA,NA,NA,30,57,39,9,111,1869300
